NGO_Name,category,BIR_expiry_date,PCNC_expiry_date,website
"Phil-Asia Assistance Foundation, Inc.",SocialWelfareandDevelopment,02/22/2021,12/10/2023, www.philasia.org
"Philam Foundation, Inc.",Education-SupportsFormalSchools/Students,09/27/2020,02/22/2022, www.philamlife.com
"Philippine Academy of Rehabilitation Medicine, Rehabilitation Advocacy, Research and Education (PARM-RARE) Foundation, Inc.",Health–public/community,01/06/2021,01/06/2021, parm.org.ph
"Philippine Bible Society, Inc.",Religious,08/31/2020,01/23/2022, www.bible.org.ph
"Philippine Business for Social Progress, Inc.",SocialWelfareandDevelopment,12/31/2020,12/31/2020, www.pbsp.org.ph
"Philippine Cancer Society, Inc.",Health–public/community,12/06/2020,08/02/2021, www.philcancer.org.ph
"Philippine Center for Population and Development, Inc.",Research,05/19/2019,, http://www.pcpd.ph
"Philippine Cultural College, Inc.",Education-FormalSchool,09/24/2020,09/24/2020, www.philippineculturalcollege.edu.ph
"Philippine Disaster Resilience Foundation, Inc. (form. Phil. Disaster Recovery Foundation)",DisasterReliefand/orRehabilitation,12/31/2020,07/25/2023, www.pdrf.org
"Philippine Eagle Conservation Program Foundation, Inc.",Environment/Biodiversity,08/04/2022,08/04/2022, www.philippineeagle.org
"Philippine Institute of Certified Public Accountants Foundation, Inc.",Education-SupportsFormalSchools/Students,07/15/2020,07/24/2022,
"Philippine Jesuit Aid Association, Inc.",Others,07/24/2020,04/26/2022, www.phjesuits.org
"Philippine Jesuit Prison Service Foundation, Inc.",SocialWelfareandDevelopment,10/28/2021,08/28/2024, www.philippinejesuitprisonservice.org
"Philippine S & T Development Foundation-Manila, Inc.",Education-SupportsFormalSchools/Students,05/20/2022,09/26/2023,
"Philippine Science High School Foundation, Inc.",Education-FormalSchool,03/01/2021,03/01/2021,
"Philippine Sugar Research Institute Foundation, Inc. (PHILSURIN)",Research,07/02/2020,01/22/2025,
"Philippine Tuberculosis Society, Inc.",Health–specialized,03/06/2020,07/26/2020, www.ptsi.org.ph
"PHILSAGA High School Foundation, Inc.",Education-FormalSchool,12/15/2022,12/15/2022,
"Philseven Foundation, Inc.",Education–Non-Formal/ALS,07/18/2021,07/18/2021, www.philseven.com
"PHINMA Foundation, Inc.",Education-SupportsFormalSchools/Students,03/08/2021,01/23/2022, www.phinmafoundation.org
"Philippine K9 Search and Rescue Foundation, Inc.",Education–Technical/Vocational,09/12/2014,N/A,
"Philippine National Police Foundation, Inc.",SocialWelfareandDevelopment,02/22/2024,02/22/2024, http://www.pnpfoundation.org/
"Philippine Organized Workforce for Economic Recovery Foundation (Power Foundation), Inc.",Education–Technical/Vocational,06/13/2021,06/13/2021,
"Philippine Province of the Good Shepherd, Inc.",Religious,04/19/2020,08/23/2022, www.goodshepherdsisters.org.ph
"Philippine Relief and Development Services (PHILRADS), Inc.",DisasterReliefand/orRehabilitation,06/06/2020,06/06/2020, www.philrads.org
"Physicians for Peace Philippines, Inc",Health–public/community,06/22/2022,06/26/2022, www.physiciansforpeace.ph
"Pilipinas Shell Foundation, Inc.",SocialWelfareandDevelopment,04/05/2022,04/05/2022, www.pilipinasshellfoundation.org
"Pilipinas Una sa Lahat (Cebu) Foundation, Inc.",Education-SupportsFormalSchools/Students,08/15/2019,08/28/2022,
"Pioneer Foundation, Inc.",Education-SupportsFormalSchools/Students,08/27/2021,06/27/2023, www.pioneer.com.ph
"PLDT-Smart Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,02/26/2025, pldtsmartfoundation.org.
"Pondong Batangan Community Foundation, Inc.",Education-SupportsFormalSchools/Students,10/08/2020,12/06/2021, www.archlipa.org
"President Emilio Aguinaldo Medical Foundation, Inc.",Health–public/community,,11/12/2022,
"Primary Structures Educational Foundation, Inc.",Education–Technical/Vocational,12/31/2020,02/26/2025, www.skills.com.ph
"PRO-LIFE Philippines Foundation, Inc.",Others,07/15/2020,07/15/2020, prolife.org.ph
"PSC Foundation, Inc.",SocialWelfareandDevelopment,09/22/2019,09/22/2019,
"PTC CSJ Foundation, Inc.",SocialWelfareandDevelopment,12/15/2020,12/15/2020, www.ptccsj.org.ph
"Punta Fuego Village Foundation, Inc.",Education-SupportsFormalSchools/Students,08/27/2021,08/27/2021,
"Radio Mindanao Network Foundation, Inc.",Education-SupportsFormalSchools/Students,10/23/2020,11/12/2020, https://rmn.ph/foundation/
"Ralph Edmund Spencer Foundation, Inc.",SocialWelfareandDevelopment,11/07/2020,11/07/2020, matlingindustrial.com
"Ramon Aboitiz Foundation, Inc.",SocialWelfareandDevelopment,07/09/2020,06/22/2021, www.rafi.org.ph
"RC Manila Foundation, Inc.",SocialWelfareandDevelopment,12/11/2019,12/10/2020, https://rcmanila.org/rcmfi/
"RD Foundation, Inc.",SocialWelfareandDevelopment,11/09/2021,11/09/2021, www.rdfoundation.org.ph
"Sister Clarette-Rosario Foundation, Inc.",SocialWelfareandDevelopment,09/30/2021,09/30/2021, www.scrfi.com
"SM Foundation, Inc.",SocialWelfareandDevelopment,06/15/2020,06/15/2020, www.sm-foundation.org
"SMCGP Philippines Power Foundation, Inc.",Education-SupportsFormalSchools/Students,12/11/2019,12/10/2022,
"Smile Train Philippines Foundation, Inc.",Health–public/community,10/15/2020,10/15/2020, https://www.smiletrain.ph/
"Sociedad Española de Beneficencia, Inc.",Others,12/31/2020,12/31/2020, www.sociedadespanoladebeneficencia.org
"Soil and Water Conservation Foundation, Inc.",Environment/Biodiversity,09/25/2018,03/20/2023, www.soilwatercebu.org
"Sr. Baptista Battig Music Foundation, Inc.",Others,05/08/2024,05/08/2024, ssc.edu.ph/battig
"St. James COPA Foundation, Inc.",Religious,08/06/2020,08/06/2020,
"St. John’s Institute of Bacolod City, Inc.",Education-FormalSchool,03/31/2020,03/31/2020,
"St. Joseph Foundation, Inc.",Others,08/15/2020,10/24/2023,
"St. Joseph School – La Salle (Bacolod), Inc.",Education-FormalSchool,10/28/2020,10/28/2020, www.sjslsbacolod.org
"St. Luke’s Medical Center Foundation, Inc.",Health–public/community,05/27/2021,10/24/2021, stlukesmedicalcenterfoundation.org
"Ruben M. Tanseco, S.J. Center for Family Ministries Foundation, Inc.",Education–Non-Formal/ALS,06/28/2021,06/28/2021, www.cefam.ph
"Safer River, Life Saver Foundation, Inc.",Environment/Biodiversity,10/22/2021,08/23/2022, http://ssls.liceo.edu.ph
"Saint Martin de Porres Center, Inc.",SocialWelfareandDevelopment,10/06/2020,10/06/2020,
"Saklolo at Gabay ng Ina at Pamilya (SAGIP), Inc.",SocialWelfareandDevelopment,03/12/2020,03/12/2020,
"San Antonio Formation and Enhancement Center, Inc.",SocialWelfareandDevelopment,02/27/2020,02/26/2023,
"San Beda College Alumni Foundation, Inc.",Others,06/02/2021,06/02/2021, sanbedaalumni.org
"San Beda College Benedictine Educational Foundation, Inc.",Education-SupportsFormalSchools/Students,05/20/2022,06/26/2022, https://www.sanbeda.edu.ph/category/post/benedictine-foundation
"San Lorenzo Ruiz Charity (SJDMC), Inc.",Education-SupportsFormalSchools/Students,02/27/2020,02/26/2021, www.sanlorenzoruizcharity.org
"San Miguel Foundation, Inc.",SocialWelfareandDevelopment,06/26/2020,06/27/2023, www.sanmiguel.com.ph
"San Roque Power Foundation, Inc.",SocialWelfareandDevelopment,12/15/2022,12/15/2022,
Sanctuario Nature Farms Corp.,EnterpriseDevelopment/Livelihood,06/02/2021,05/01/2022, https://www.facebook.com/sanctuarionaturefarms
"Sanctus Vincensus Scholarship Foundation, Inc.",Education-SupportsFormalSchools/Students,06/15/2020,06/15/2020, www.spc-ormoc.edu.ph
"REACH, Inc. (Resources Employment and Community Horizons, Inc.)",SocialWelfareandDevelopment,08/21/2021,08/21/2021,
"RealLife Foundation, Inc.",Education-SupportsFormalSchools/Students,09/28/2020,05/09/2021, https://www.reallife.ph/
"Regina Rica Foundation, Inc.",SocialWelfareandDevelopment,11/21/2019,05/24/2022, www.reginarica.org
"Reintegration for Care & Wholeness (RCW) Foundation, Inc.",SocialWelfareandDevelopment,03/06/2022,05/01/2024,
"Repertory Philippines Foundation, Inc.",CultureandArts,12/11/2019,12/10/2022, www.repertoryphilippines.ph
"Resorts World Philippines Cultural Heritage Foundation, Inc.",Education-SupportsFormalSchools/Students,08/15/2021,08/15/2021,
"Resources for the Blind, Inc.",Education–Non-Formal/ALS,08/10/2020,08/10/2020, www.blind.org.ph
"Rise Against Hunger Philippines, Inc.",SocialWelfareandDevelopment,02/14/2021,02/14/2021, www.riseagainsthunger.org.ph
"Ronald McDonald House Charities of the Philippines, Inc.",SocialWelfareandDevelopment,08/05/2024,08/05/2024, www.mcdonalds.com.ph
"Rotary Club of Makati, Inc.",Education-SupportsFormalSchools/Students,06/26/2020,09/25/2022, www.makatirotary.org
"Roxas Foundation, Inc.",SocialWelfareandDevelopment,05/25/2018,12/10/2020,
"RTN Foundation, Inc.",Education-SupportsFormalSchools/Students,09/13/2021,01/23/2024,
"Save Palawan Seas Foundation, Inc.",Environment/Biodiversity,02/12/2020,08/23/2020, www.savepalawanseasfoundation.org
"SCTAN Foundation, Inc.",SocialWelfareandDevelopment,02/15/2020,03/20/2023,
"Security Bank Foundation, Inc.",Others,12/31/2020,12/31/2020, www.securitybank.com
"Senators Gaudencio and Magnolia Antonino Foundation, Inc.",Education-SupportsFormalSchools/Students,11/15/2020,12/12/2021,
"SGV Foundation, Inc.",SocialWelfareandDevelopment,08/28/2020,08/28/2020, sgvfoundatioin.com.ph
"Shepherd’s Voice Radio and Television Foundation, Inc.",Religious,12/15/2020,12/15/2020,
"Shining Light Foundation, Inc.",Health–public/community,06/22/2020,12/12/2021, http://shininglightfoundation.com/
"Sikat Solar Challenge Foundation, Inc.",Research,01/02/2021,08/28/2022, www.philsolarchallenge.org
Silliman University,Education-FormalSchool,08/28/2020,08/28/2020, www.su.edu.ph
"Silsilah Foundation, Inc.",CommunityBuilding/Development,05/15/2020,05/15/2020,
"Simbahang Lingkod  ng Bayan, Inc.",SocialWelfareandDevelopment,03/17/2019,01/25/2022, www.slb.ph
"Simbayanan ni Maria Community Foundation, Inc.",SocialWelfareandDevelopment,05/15/2021,05/01/2022, https://simbayanancoop.org/
"St. Stephen’s High School, Inc.",Education-FormalSchool,02/27/2020,02/26/2023, www.sshs.edu.ph
"St. Teresita’s Academy of Aritao, Inc.",Education-FormalSchool,06/13/2021,06/13/2021,
"Stairway Foundation, Inc.",SocialWelfareandDevelopment,06/13/2021,06/13/2021,
"Steps Dance Studio Scholarship Foundation, Inc.",CultureandArts,04/05/2020,04/05/2020,
"Students’ Transformation and Enrichment for Truth-Values Integration and Promotion (STET-VIP), Inc.",Education-SupportsFormalSchools/Students,11/20/2020,11/20/2020, www.stetvip.org
"Sugbu Chinese Heritage Museum Foundation, Inc.",CultureandArts,08/04/2020,08/04/2020, www.facebook.com/SugbuChineseHeritageMus
"Sun Life Financial-Philippines Foundation, Inc.",SocialWelfareandDevelopment,06/17/2020,06/17/2020, https://www.sunlife.com.ph/PH/About+us/Sun+Life+Foundation
"Sunwest Care Foundation, Inc.",SocialWelfareandDevelopment,08/30/2020,08/30/2020,
"Synergeia Foundation, Inc.",CommunityBuilding/Development,09/04/2022,03/20/2023, www.synergeia.org.ph
"Tahanan ng Pagmamahal Children’s Home, Inc.",SocialWelfareandDevelopment,11/07/2022,01/22/2023,
"Tan Yan Kee Foundation, Inc.",SocialWelfareandDevelopment,05/07/2020,05/07/2020, www.tanyankee.org
"Tanggol Kalikasan, Inc.",Environment/Biodiversity,04/12/2023,10/24/2023, www.tanggolkalikasan.org
"The Foundation for Professional Training, Inc.",Education–Technical/Vocational,06/06/2022,06/06/2022,
"The Learning Center, Inc.",Education-SupportsFormalSchools/Students,02/20/2022,02/20/2022, https://www.facebook.com/tlcinc75/
"The Mariposa Foundation, Inc.",Others,06/22/2020,06/27/2023,
"The Philippine Foundation for Cultural and Educational Development, Inc.",CommunityBuilding/Development,08/17/2020,06/27/2023,
"The Ramakrishna Vedanta Society of the Philippines, Inc.",Religious,10/15/2020,10/15/2020, www.vedanta-philippines.org
"The U.P. Medical Foundation, Inc.",Education-SupportsFormalSchools/Students,08/19/2020,10/25/2022,
"The University of the Philippines Foundation, Inc.",Others,10/29/2021,10/29/2021, upfoundation.org
"The Zuellig Family Foundation, Inc.",SocialWelfareandDevelopment,10/28/2020,10/28/2020, www.zuelligfoundation.org
"TORM Philippines Education Foundation, Inc.",Education-SupportsFormalSchools/Students,02/07/2022,11/12/2022,
"Toyota Motor Philippines School of Technology, Inc. Doing Business Under the Name and Style of TMP Tech",Education–Technical/Vocational,05/29/2020,02/21/2023,
"Tropical Disease Foundation, Inc.",Research,05/29/2020,06/26/2022, www.tmptech.edu.ph
"Tuason Development Foundation, Inc.",SocialWelfareandDevelopment,05/16/2021,12/12/2021,
"Tanging Yaman Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,08/22/2021, www.tangingyaman.org
"Tany Foundation, Inc.",Others,06/22/2020,09/27/2022, facebook.com/TanyFoundation/
"Tarlac Heritage  Foundation, Inc.",CultureandArts,01/25/2020,01/25/2020,
"Teach for the Philippines, Inc.",Education–Non-Formal/ALS,12/14/2021,12/14/2021, www.teachforthephilippines.org
"Team Energy Foundation, Inc.",Environment/Biodiversity,03/21/2022,03/21/2022, http://www.teamenergy.ph/csr01.php
"The Andres Soriano Foundation, Inc.",SocialWelfareandDevelopment,12/20/2021,06/28/2022, www.anscor.com.ph/foundation/foundation.
"The Bank of the Philippine Islands Foundation, Inc.",CommunityBuilding/Development,03/08/2021,11/12/2024, www.bpifoundation.org
"The Beacon Academy, Inc.",Education-FormalSchool,12/14/2021,12/14/2021, www.beaconacademy.ph
"The Cancer Resource and Wellness (Carewell) Community Foundation, Inc.",Health–specialized,05/26/2022,12/10/2024, www.carewellcommunity.org
"The Center for Art, New Ventures & Sustainable Development Corp. (CANVAS)",CultureandArts,01/06/2021,01/06/2021, http://www.canvas.ph/
"The Eye Bank Foundation of the Philippines, Inc.",Health–specialized,02/27/2020,02/26/2025, https://eyebankphil.org/
"The Forum for Family Planning and Development, Inc.",Health–specialized,10/15/2020,10/15/2020, http://forumforfp.org/
"Tulay ng Kabataan Foundation, Inc.",SocialWelfareandDevelopment,12/27/2021,11/12/2022, tnkfoundation.org
"Tulong Medikal at Gabay Aral ng Sustamina (TUMBAS) Foundation, Inc.",Education-SupportsFormalSchools/Students,12/04/2020,11/12/2022,
"Tuloy Foundation, Inc.",SocialWelfareandDevelopment,11/11/2018,12/06/2021, www.tuloy.org
"U.P. Business Research Foundation, Inc.",Research,09/26/2021,07/24/2024,
"U.P. Engineering Research & Dev’t. Foundation, Inc.",Research,02/18/2020,02/18/2020,
"UCPB-CIIF Foundation, Inc.",Education-SupportsFormalSchools/Students,03/31/2022,06/27/2023, www.cocofoundation.com
"Unilab Foundation, Inc.",Health–public/community,08/30/2022,08/30/2022, www.unilabfoundation.org
"Union Church of Manila Philippines Foundation, Inc.",Education-SupportsFormalSchools/Students,07/07/2020,07/07/2020, www.ucmphilfoundation.org
"United Bayanihan Foundation, Inc.",SocialWelfareandDevelopment,08/28/2020,08/28/2020,
"United Neon Foundation, Inc.",CommunityBuilding/Development,05/15/2022,06/26/2022,
"University of Asia and the Pacific Foundation, Inc.",Education-FormalSchool,03/06/2023,03/06/2023, www.uap.asia
University of San Carlos,Education-FormalSchool,09/17/2019,11/12/2024, www.usc.edu.ph
"University of San Carlos-Water Resources Center Foundation, Inc.",Environment/Biodiversity,06/27/2019,06/26/2022, www.mail.usc.edu.ph
"University of San Jose-Recoletos, Inc.",Education-FormalSchool,11/08/2023,11/08/2023, www.usjr.edu.ph
"University of Southern Philippines Foundation, Inc.",Education-FormalSchool,11/20/2022,11/20/2022, www.uspd.edu.ph
"University of St. La Salle, Inc.",Education-FormalSchool,06/02/2021,06/02/2021, www.usls.edu.ph
"University of the Assumption, Inc.",Education-FormalSchool,09/10/2022,09/10/2022, www.ua.edu.ph
"University of the Philippines College of Law Alumni Foundation, Inc. aka U.P. Law Alumni Foundation",Others,02/11/2021,08/28/2022,
"University of the Philippines Los Baños Foundation, Inc.",Research,12/11/2019,12/10/2024, www.uplbfi.org
"University of the Philippines Medical Alumni Foundation, Inc. (UPMAF)",Others,07/29/2020,05/15/2021, www.upmaf.com
"Uplift Cares Global Movement Foundation, Inc.",SocialWelfareandDevelopment,04/05/2022,04/05/2022, https://www.upliftcares.com/
"UST Research and Endowment Foundation, Inc.",Research,03/26/2020,09/27/2020,
"Uygongco Foundation, Inc.",SocialWelfareandDevelopment,03/31/2020,02/26/2025, https://ufi.lafilgroup.com/
"Vicsal Foundation, Inc.",SocialWelfareandDevelopment,11/11/2021,11/11/2021, http://vicsalfoundation.com/
"Visions of Hope Foundation, Inc.",SocialWelfareandDevelopment,07/29/2022,03/20/2023, www.cct.org.ph
"Vivant Foundation, Inc.",Education–Technical/Vocational,08/15/2021,08/15/2021,
"WeatherPhilippines Foundation, Inc.",Environment/Biodiversity,03/02/2022,03/02/2022, www.weatherph.org
"Welcome Home Foundation, Inc.",SocialWelfareandDevelopment,03/22/2021,07/26/2022, www.whfi.ph
"White Cross, Inc.",SocialWelfareandDevelopment,08/07/2020,02/27/2022, www.whitecross.ph
"Wong Chu King Foundation, Inc.",Education-SupportsFormalSchools/Students,01/23/2020,01/22/2023, https://wckfoundation.org/
"World Vision Development Foundation, Inc.",SocialWelfareandDevelopment,08/28/2020,08/28/2020, www.worldvision.org.ph
"WS Family Foundation, Inc.",Others,11/08/2020,12/10/2022,
"Xavier School (also known as Kuang Chi School), Inc.",Education-FormalSchool,11/07/2022,11/07/2022, xs.edu.ph
"Xavier School Educational and Trust Fund, Inc.",Education-SupportsFormalSchools/Students,10/11/2021,10/11/2021,
"Yakap sa Kaunlaran ng Bata, Inc.",SocialWelfareandDevelopment,08/15/2021,08/15/2021,
"Young Men’s Christian Association of Makati (Rizal), Inc.",CommunityBuilding/Development,11/07/2020,11/07/2020, ymcamakati.com
"ZCHHHS Foundation, Inc.",Education-SupportsFormalSchools/Students,06/17/2020,06/17/2020,
